LINK;TITULO;FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VICTIMA;EDAD DELINCUENTE;GENERO VICTIMA;GENERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
http://www.elpopular.pe/actualidad-y-policiales/2017-03-07-pnp-detienen-adolescente-que-asaltaba-con-pistola-en-el-callao;PNP: detienen a adolescente que asaltaba con pistola en el Callao;7/03/2017;El Popular;Raqueteo;Pistola;;15-21;;Hombre (2);Callao;0;0;
http://www.latina.pe/noticias/90/lima-roban-joyeria-ubicada-en-la-plaza-de-armas-en-menos-de-dos-minutos-49611/;Lima: roban joyería ubicada en la plaza de Armas en menos de dos minutos;21/03/2017;Latina;Asalto;Pistola;;;Varios;Hombre (3);Cercado de Lima;0;0;
http://www.americatv.com.pe/noticias/actualidad/miraflores-cambista-fue-baleado-durante-asalto-n270137;Miraflores: policía en retiro que trabajaba como cambista murió baleado;22/03/2017;América TV;Asalto;Pistola;;;Hombre;Hombre (3);Miraflores;1;0;Policía
http://canaln.pe/actualidad/miraflores-cambista-fue-baleado-durante-asalto-n270136;Miraflores: cambista fue baleado durante asalto;22/03/2017;Canal N;Raqueteo;Pistola;;;Hombre;Hombre (4);Miraflores;1;0;Cambista
http://www.latina.pe/noticias/90/miraflores-cambista-muere-al-enfrentarse-a-balazos-a-delincuentes-49743/;Miraflores: cambista muere al enfrentarse a balazos a delincuentes;23/03/2017;Latina;Raqueteo;Pistola;;;Hombre;Varios (No especifíca);Miraflores;1;0;Cambista
http://canaln.pe/actualidad/cercado-lima-equipo-canal-n-sufrio-robo-estacionamiento-portales-n270232;Cercado de Lima: equipo de Canal N sufrió robo en estacionamiento Los Portales;23/03/2017;Canal N;Hurto;Sin arma;;;Mujer;;Cercado de Lima;0;0;Periodista
http://ojo.pe/policial/ladrones-armados-asaltan-colegio-238903/;Los Olivos: 10 delincuentes armados asaltan colegio estatal y ¡roban esto!;23/03/2017;Ojo;Hurto;Pistola;;;Hombre;Hombre (10);Los Olivos;0;0;Vigilante
http://larepublica.pe/impresa/sociedad/858029-sicarios-asesinan-obrero-de-construccion-en-puente-piedra;Sicarios asesinan a obrero de construcción en Puente Piedra;21/03/2017;La República;Sicariato;Pistola;22-34;;Hombre;Varios (No especifica);Puente Piedra;1;0;Obrero
http://trome.pe/actualidad/policiales/rimac-matan-siete-balazos-escalera-45056;Rímac: Matan a hombre de siete balazos en pasaje Manco Cápac;31/03/2017;Trome;Sicariato;Pistola;22-34;;Hombre;Hombres (3);Rímac;1;0;
http://larepublica.pe/sociedad/858986-encapuchados-roban-50-mil-soles-empresario-en-villa-maria-del-triunfo;Encapuchados roban 50 mil soles a empresario en Villa María del Triunfo;24/03/2017;La República;Marcaje;Pistola;;;Hombre;Varios (4);Villa María del Triunfo;0;0;Empresario
https://panamericana.pe/eldominical/locales/223963-brena-asaltan-empresa-roban-35-000-dolares-maquinaria-dinero;Breña: Asaltan empresa y roban más de 35 000 dólares;25/03/2017;Panamericana TV;Asalto;Pistola;;22-34;Varios (6);Hombre (4);Breña;0;0;
http://peru21.pe/actualidad/smp-asalto-barberia-fue-transmitido-facebook-2275410;Facebook: Asalto a barbería en San Martín de Porres fue transmitido en vivo [Video];26/03/2017;Perú21;Asalto;Pistola;;;Hombre;Hombre (3);San Martín de Porres;0;0;Dueño de local
http://larepublica.pe/sociedad/858896-sjl-sicarios-matan-de-7-disparos-una-joven-video;SJL: sicarios matan de 7 disparos a una joven [VIDEO];24/03/2017;La República;Sicariato;Pistola;22-34;;Mujer;Varios (No especifica);San Juan de Lurigancho;1;3;No especifica
http://exitosanoticias.pe/miraflores-frustran-asalto-de-un-i-shop-durante-la-madrugada/;Fustran asalto de un I shop en la madrugada;27/03/2017;Exitosa;Asalto;Pistola - Comba;;;;Varios (No especifica);Miraflores;0;0;
